Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-08-05,CUMMINSIND,EQ,1019.7,1025.0,1046.3,1020.0,1026.5,1024.7,1031.96,117479,12123337435000.0,4958,77176,0.6569
2015-08-06,CUMMINSIND,EQ,1024.7,1034.0,1198.8,1017.0,1195.9,1155.5,1125.82,1673427,188397534435000.0,50244,655920,0.392
2015-08-07,CUMMINSIND,EQ,1155.5,1190.0,1247.65,1154.0,1181.1,1187.3,1201.75,1239478,148954023220000.0,54897,420929,0.3396
2015-08-10,CUMMINSIND,EQ,1187.3,1185.0,1219.0,1146.65,1185.0,1187.3,1186.64,429100,50918735775000.0,29791,201180,0.46880000000000005
2015-08-11,CUMMINSIND,EQ,1187.3,1196.05,1199.3,1146.1,1158.0,1157.0,1159.56,189789,22007227535000.0,17678,109919,0.5792
2015-08-12,CUMMINSIND,EQ,1157.0,1149.8,1200.0,1119.9,1126.0,1128.4,1160.47,229181,26595796210000.0,14567,86073,0.37560000000000004
2015-08-13,CUMMINSIND,EQ,1128.4,1139.0,1175.35,1110.0,1150.0,1151.65,1160.57,204764,23764251845000.0,8254,124092,0.606
2015-08-14,CUMMINSIND,EQ,1151.65,1159.95,1198.9,1158.0,1193.0,1191.8,1185.53,214123,25384989795000.0,13274,99476,0.4646
2015-08-17,CUMMINSIND,EQ,1191.8,1207.8,1207.8,1152.25,1162.65,1166.8,1175.52,145126,17059840880000.002,10819,96066,0.6619
2015-08-18,CUMMINSIND,EQ,1166.8,1179.95,1182.65,1153.0,1158.0,1161.9,1164.11,175568,20437977705000.0,6933,123204,0.7017
2015-08-19,CUMMINSIND,EQ,1161.9,1158.5,1190.0,1143.25,1177.9,1180.1,1166.59,357099,41658813695000.0,12246,255601,0.7158
2015-08-20,CUMMINSIND,EQ,1180.1,1180.1,1180.1,1137.0,1140.65,1143.9,1154.16,479695,55364263104999.99,12052,359894,0.7503000000000001
